logFC logCPM LR PValue padj
HELPU_022034 4.41415392582669 1.77504690351191 9.82224359922853 0.00172413893890007 0.0309156598136031
HELPU_022596 -4.06917171236393 3.35175861512649 13.109504502681 0.000293801385259482 0.00856552544047922
HELPU_023614 1.06623081964075 5.04568750776173 10.6796292618441 0.00108321768338804 0.0218900796708343
HELPU_019144 -1.41008138907678 6.65707441177955 19.6965233119086 9.07663479737075e-06 0.000548918699978263
HELPU_003664 -3.76500103088727 0.315054237211139 16.1084928319691 5.98151922970205e-05 0.00252363543630251
HELPU_012438 -1.11153250682508 6.29773864119336 16.713345687725 4.34740969585315e-05 0.00194140865137159
HELPU_020722 -3.4422374958728 0.955928739531986 13.245628233634 0.000273216326192877 0.00815617918028245
HELPU_004176 -5.91787330199471 1.65084609754311 11.5972956839934 0.000660477924607171 0.0157333905616089
HELPU_004182 -1.35045649300832 4.87826558893155 9.3541322824082 0.00222483275633957 0.0367939294083242
HELPU_016443 3.81636215391806 3.69989821666148 26.8930142021401 2.15034729896001e-07 2.46447845333256e-05
HELPU_016046 1.13846169186629 5.7114569497697 10.0863168377079 0.00149374375864898 0.0281390419086186
HELPU_007337 -0.678721399988307 8.0290024459732 12.926032340558 0.000324043895773789 0.0092521871216666
HELPU_007343 6.12695641337865 0.987790906248856 9.30601786591549 0.00228402376467149 0.0374703358150161
HELPU_004354 -1.39169461723976 4.25324132142957 19.3514969540508 1.08733973208997e-05 0.000628896740458995
HELPU_013255 -0.766704453275907 5.25430617302966 15.652444463026 7.61141350043518e-05 0.00297024231956396
HELPU_008468 0.724091584159875 6.26453854592426 18.2917855661773 1.8952263991444e-05 0.00100846965764862
HELPU_008465 -5.11607179343604 2.11473964777818 30.2467732810602 3.80423612307955e-08 5.66796598374097e-06
HELPU_015585 -5.88018233160741 5.50316488635748 14.9130568168939 0.000112581090248132 0.00411850778588536
HELPU_009134 -3.32866363289632 3.22067418626252 9.57683453116428 0.00197047855141656 0.0338868551722624
HELPU_016907 -7.93824549793033 3.84128718568124 27.6940328525408 1.42100363909351e-07 1.80533555357392e-05
HELPU_016908 -4.19455406102938 3.91811847484412 16.0287784808868 6.23869487517408e-05 0.00258850557744881
HELPU_006310 -11.2911001728741 1.36879288157466 16.0653086776104 6.11948830796202e-05 0.00255196676537378
HELPU_014871 -2.4421113497762 4.89959216539422 9.6488973336957 0.00189465282158698 0.032899832870949
HELPU_004263 -0.987927375407145 6.51088260469498 11.8996516592002 0.000561444426965973 0.0140695913051152
HELPU_004468 0.814878407051301 5.397685149566 9.28586780068483 0.00230928495188925 0.0377615775406365
HELPU_018671 4.1847162062901 2.22511197340875 19.4962677909686 1.00796432024072e-05 0.000592097750696242
HELPU_012770 -3.0604700793552 5.53536480178747 12.4683564571455 0.000413904112032432 0.0112495431046427
HELPU_014377 1.0204508479073 5.86858267401451 9.28365044050843 0.00231208200807619 0.0377615775406365
HELPU_014376 -1.09537809393651 3.50059847300804 10.7943854612886 0.00101808405186624 0.0209950969092913
HELPU_021783 -1.09331016004826 5.60674799359822 29.8683535458455 4.62398883261801e-08 6.53297870498073e-06
HELPU_011147 -4.14283470329223 5.98481595366552 22.0948611213237 2.59503507967073e-06 0.000208480538827076
HELPU_014841 -8.70792573818481 1.72733913802143 9.27051598582125 0.00232872089760794 0.0379406340316647
HELPU_012622 -8.51779429544749 0.865503793862157 26.3358097119275 2.86919210057471e-07 3.19885641743666e-05
HELPU_012623 -8.54213712144793 4.30494536826756 20.0355924554041 7.60140696049625e-06 0.000481001770948158
HELPU_006132 1.7571317657105 2.5855236386411 10.2176928687312 0.00139099746056738 0.0265699969478307
HELPU_006140 -3.89308462893671 3.99162478715712 28.2340921994913 1.07494445786107e-07 1.40938117759081e-05
HELPU_021711 -1.13402290383144 2.94984217784165 9.29615417335702 0.00229635419250314 0.037634948860934
