logFC logCPM LR PValue padj
HELPU_015766 -2.85438085319125 4.98261504458576 10.8540422379957 0.000985803348974698 0.0285807391542468
HELPU_012438 -1.52289471646044 6.29773864119336 30.7432573181617 2.94525483046246e-08 6.79856076288017e-06
HELPU_007967 -6.34641751577092 0.138595383350135 12.6416332200142 0.000377250255607602 0.0144120150096806
HELPU_021703 -8.05252459788356 0.713251530382648 15.8372510017481 6.90300475882826e-05 0.00396959105236619
HELPU_004359 1.89740930252912 6.19953579174441 17.6941676828542 2.59420797542297e-05 0.00187406701731277
HELPU_010799 1.50718360049885 4.01005700798916 11.2059024609537 0.00081537563069598 0.0251187804727
HELPU_006687 -1.33349901273525 3.38827044437147 10.7999782422673 0.00101501287666698 0.0289619316953349
HELPU_021664 -2.15654507084206 8.46092918584148 49.4764440790133 2.00767966846213e-12 1.21866155875651e-09
HELPU_005126 -0.976594750599908 6.6186839178359 12.0066932787755 0.000530098269114537 0.0184453939119281
HELPU_008415 0.862546229100557 4.161512488934 11.5642866486226 0.000672306782782071 0.021934545037816
HELPU_012922 -1.12223081652806 2.27857433697712 10.8059458331322 0.00101174621259665 0.0289619316953349
HELPU_006318 2.94241881834311 1.94423662467138 10.2184847903423 0.00139040031855131 0.0352744130351973
HELPU_014871 -3.17468923921026 4.89959216539422 15.2870400974663 9.23479238981689e-05 0.00489802629374463
HELPU_004468 0.942965001018829 5.397685149566 12.4079668644471 0.000427506058191531 0.0155697706393355
HELPU_004466 1.46131817960339 4.39380443135994 13.3168770173471 0.000263027891838841 0.0109410256836212
HELPU_007134 -8.84509314574696 0.607648561120697 52.7441322797291 3.79956787016172e-13 2.49084471296322e-10
HELPU_022734 5.3917075550313 2.02799040142123 13.2468802996293 0.00027303389328345 0.0111702622635724
HELPU_007833 -6.19002491255599 2.48388398862825 14.3986920860081 0.000147905003043671 0.00706709940199045
HELPU_007836 -2.24069241387227 2.3997846447245 13.2917354852366 0.000266578605340766 0.0110606500327337
HELPU_011147 -3.05110286187272 5.98481595366552 13.2747252307769 0.000269008311357909 0.0111332757950626
HELPU_012622 -3.9251487739242 0.865503793862157 10.7872994803444 0.00102198869164742 0.0289781534038229
HELPU_006056 -2.73168395121107 3.49911949514953 43.3111964462956 4.66904174950229e-11 2.25061544801744e-08
HELPU_017754 1.95713785241096 5.95057511765981 18.9389861430658 1.34966178317987e-05 0.00110598034822674
HELPU_021066 -1.50961543200948 2.57016879695914 11.5097464183477 0.000692322218995732 0.0224238514765238
HELPU_012962 -3.81730184879421 4.74002314556559 13.0657600181979 0.00030074314730054 0.0120218507824914
HELPU_012961 -2.20425213638451 2.3091868518692 13.0611670743534 0.000301481522460429 0.0120218507824914
HELPU_005491 -2.92340075743926 4.54801266104558 10.7175366215762 0.00106124866805789 0.0297555835596299
HELPU_005488 -1.620294528847 1.2764840310699 10.1101444626909 0.00147455404882758 0.0369350058702122
HELPU_015500 2.92329680645574 7.62539623343598 13.8378079282368 0.000199285560657317 0.00899321597239243
HELPU_019815 5.20288753622143 0.325772013869638 31.9538759227509 1.5787704592718e-08 3.98068754723162e-06
HELPU_006298 -5.8261147236164 2.98239904849486 10.793362531799 0.00101864679103004 0.0289781534038229
HELPU_019778 -4.69263529429409 3.79980601591457 14.8402009551108 0.00011701442933441 0.00600608183695069
HELPU_007146 -2.41839868329849 3.56792756089484 9.43374263514393 0.00213029094232742 0.0473639094665593
HELPU_007140 -8.09103269814538 4.05404625123773 35.6920318766649 2.31107345970531e-09 7.89087144398131e-07
HELPU_014660 3.09836385768094 0.632062342944664 10.033072237553 0.00153754375562346 0.037950006944146
HELPU_006925 -2.40008968689892 5.2703155897683 16.448155387876 4.99988084539273e-05 0.00311570521578485
HELPU_015352 2.96846001549396 2.05286695634492 10.8699514504265 0.000977370920821328 0.028475223021842
HELPU_002187 -7.19681799607104 4.00089792357694 9.6365030195192 0.0019074805086814 0.0440305606433513
HELPU_020928 3.13596762998001 0.400655626259383 26.5875950539482 2.51855681853355e-07 4.29964871864024e-05
HELPU_000929 -1.22256364576641 5.48163832872009 13.5641042418418 0.000230552414718033 0.00997248803949117
HELPU_018647 -3.05742422905048 2.55704307450306 10.6841314244308 0.00108058458763456 0.0299656528032872
HELPU_018649 3.24980129115889 3.34677039973492 9.419852378246 0.00214648800537116 0.0475389080000378
HELPU_020553 1.72647201156945 2.62402539020576 10.7881199396633 0.00102153581378054 0.0289781534038229
HELPU_013194 3.07362945137783 4.60231890675231 10.8909595834055 0.000966347522435114 0.028382561908941
HELPU_008654 -1.38809452805247 2.81977212585678 12.2437603314213 0.00046681657201163 0.0165957848127952
HELPU_008650 -2.21660114903491 4.14817402016516 9.8267367249485 0.00171993222665531 0.040970885556183
HELPU_006227 -4.04165407183625 2.85477245720334 14.3464750116491 0.00015206413354724 0.00722370749190063
HELPU_021532 -2.33738850306558 3.63295513682284 11.3696781101094 0.000746528142142261 0.023733744613345
HELPU_023536 1.25185101912541 2.34721193400821 9.52492992026534 0.00202699328406276 0.0459479846922608
HELPU_016996 0.950155898793857 4.61174493877326 11.9907342003109 0.000534657213711742 0.0184693740998418
